Gene	Length
TNFRSF4	1722
TNFRSF18	1271
ATAD3B	7686
	25205485
MTND1P23	372
RPL7P7	703
MTCO3P12	547
DDX11L17	570
PRDM16	9767
MTND2P28	1044
ACAP3	8707
TP73-AS3	754
CAMTA1-IT1	365
PUSL1	2459
PEX10	3782
MTCO1P12	1543
CPTP	2555
SKI	6550
MEGF6	9021
TAS1R3	3475
CICP7	2477
WBP1LP6	424
LINC01345	2168
ERRFI1	4179
EEF1DP6	372
PEX14	2932
LINC01646	3328
LINC01777	2574
MTATP8P1	207
MTCO2P12	682
LINC02782	449
PLCH2	10809
SPSB1	3389
RPL23AP24	385
LZIC	5459
MZT1P1	246
HES3	710
TP73-AS1	9701
SLC2A5	6632
NDUFB4P8	367
LINC02781	1580
MTCYBP45	565
ENO1	5216
PLEKHM2	4134
B3GALT6	2805
DHRS3	3515
CA6	2662
RPL22P3	381
LRRC38	2168
NMNAT1	4610
MTATP6P1	681
CAMTA1-AS2	744
MFFP1	710
PRAMEF18	2067
PGAM1P11	680
CCDC27	4238
CHD5	10094
VAMP3	2733
FLJ37453	2473
PRAMEF29P	1139
DISP3	6120
CLSTN1	5241
MMEL1	3870
SCNN1D	4025
TMEM51	2238
C1orf127	3573
WASH9P	1397
TTLL10	3998
RPL39P6	150
TPRG1L	2401
FBXO42	9009
C1QTNF12	1794
ALDH4A1	3632
RERE	14112
CLCN6	8173
TTC34	8814
PRAMEF2	1642
PRAMEF4	1840
CELA2A	1519
CELA2B	1449
SPEN	14336
RER1	5689
PANK4	5072
WRAP73	7634
TMEM274P	444
VPS13D	20768
HTR6	3800
LINC01647	1351
RPL10P17	316
ARHGEF16	5324
RBP7	862
PRAMEF13	2442
GPR157	5304
PRAMEF32P	1068
ZBTB40	9169
ENO1-AS1	456
MICOS10-NBL1	1276
FBXO44	3527
PRAMEF10	1525
PRAMEF11	1845
PRAMEF1	2439
CFL1P6	494
NPHP4	13167
TMEM201	6981
LINC01714	1001
MTOR	12163
TP73	6767
ANGPTL7	2224
RUNX3-AS1	820
HES5	1324
PARK7	2397
TNFRSF14-AS1	6137
MT1XP1	186
PRAMEF6	1784
CLIC4	4467
NPM1P39	867
LINC01784	378
GPR3	2137
ACTG1P20	468
DPPA2P2	897
ARHGEF19-AS1	439
CAMTA1-DT	415
UQCRHL	2180
CD164L2	1994
DYNLL1P3	266
SZRD1	4742
PDIK1L	4560
CAMTA1	9903
NECAP2	5510
IGSF21-AS1	430
ZNF593OS	2073
FBXO6	1735
PPIAP34	492
LAPTM5	3228
SLC30A2	3483
PHACTR4	7317
IFITM3P7	402
CNKSR1	3960
FAM110D	2799
ICMT	4910
WASF2	5681
MED18	2017
MMEL1-AS1	373
LINC01648	1519
SLC9A1	6195
SNRPEP7	220
LDLRAP1	5371
RNF207-AS1	378
ATP5IF1	2225
TP73-AS2	351
SDC3	7065
PIK3CD-AS1	1823
CHCHD3P3	640
PAFAH2	3795
WDTC1	5911
DNAJC8	2892
RPL5P4	886
SESN2	3462
SERINC2	3452
AJAP1	12528
PTAFR	4208
RPS6KA1	5884
CAMTA1-AS1	361
NKAIN1	3320
SNRNP40	3887
SLC25A33	3865
NBPF2P	661
FBLIM1	4351
GJB3	2362
LINC01756	2148
MATN1-AS1	4024
DNAJC16	8563
SYTL1	5584
EYA3	6424
ZNF593	732
RPL7P11	658
FABP3	1398
C1orf158	4133
EPHA2	4141
LINC02780	1835
ARHGEF19	3788
KAZN-AS1	2858
DRAXIN	7365
GPR153	4198
UBE2V2P3	437
MAP3K6	5746
KAZN	13860
PRAMEF5	1720
RERE-AS1	1178
CHCHD2P6	447
LINC00337	2358
TNFRSF1B	3778
HMGN2P17	743
HS6ST1P1	1234
ZMYM4-AS1	459
TMEM51-AS2	559
TMEM82	1443
KIAA0319L	9619
LINC01226	9848
UBE4B	9237
PPP1R11P1	376
TMEM51-AS1	11973
PLA2G5	3342
PRAMEF30P	1417
PTPRU	6682
ZMYM6	9568
FTLP18	523
GJB5	1355
AGO4	7423
CDCA8	2406
GAPDHP20	1007
CPLANE2	1574
ZBTB8B	12831
RPL12P14	490
RPL22	4665
RNF207	6595
LINC02810	1328
FTH1P1	532
PAX7	6473
TRIT1	6533
CROCCP5	830
MATN1	4604
TAS1R2	2542
AADACL3	4055
LRRC37A12P	1801
EXTL1	4542
WBP1LP7	363
CASZ1	11336
AGMAT	3095
FAAP20	10916
DNALI1	4456
PDE4DIPP10	649
SCMH1	4447
IFFO2	6179
RRAGC	5116
SPCS2P4	681
GRIK3	10497
LINC02596	821
PLA2G2D	2681
YRDC	1848
PRAMEF33	1518
FBXO2	3163
HNRNPFP1	1133
SLC25A34	3338
CD24P1	225
GUCA2B	604
RCC2	4079
HSPA5P1	1960
PSMB2	4528
CASP9	5269
DDI2	12178
UQCRH	1341
MIR3659HG	684
RPS29P6	145
SELENOWP1	252
AGO1	13890
PRAMEF7	1660
GPR199P	1887
THRAP3	4720
LINC01786	513
RIMKLA	10638
LINC01398	1764
PADI6	2396
MIR34AHG	8702
PADI4	2971
LINC02811	673
C1orf122	2231
HSPE1P24	238
LINC01654	2471
EPHA10	8152
PRAMEF31P	1371
FHL3	2004
RHBDL2	2826
TMEM35B	922
INPP5B	8930
FAM183A	843
ZMYM4	7905
UTP11	3381
CFAP97P1	483
USP48	9497
ACTN4P2	1892
C1orf216	3049
SHMT1P1	1312
ACTL8	1844
PHBP12	811
RLF	6232
CTNNBIP1	3339
CLSPN	9591
OXCT2	1826
GNL2	5747
GJA4	1716
TUBAP8	1192
LINC02812	933
LINC02793	1431
FCF1P6	595
MORN1	11337
TUBBP10	1301
PRKCZ-AS1	1734
TTC22	6111
TIE1	6705
MYCBP	2773
MICOS10	5480
DLGAP3	4042
GOT2P1	1309
TMA16P2	601
RIMS3	7259
ECHDC2	11572
RAB3B	12780
SMIM12	10337
MYCL-AS1	785
TNFRSF9	6354
MRPS6P2	370
MYCL	5063
TMEM61	1256
RPL23AP19	369
LINC02794	1477
CYP4A26P	196
LINC02808	3511
LINC02778	1259
LINC01343	2573
ERI3	2785
CZIB	4504
FAM151A	2006
PODN	4899
CYP4Z2P	1598
OSBPL9	10273
PHBP3	819
C1orf210	1522
PARS2	2356
ZYG11A	4694
CALR4P	2704
ZYG11B	8206
LINC01755	3391
NFIA	55886
CZIB-DT	3591
ST3GAL3-AS1	469
L1TD1	3831
TXNDC12	2864
ALPL	2980
TXNDC12-AS1	391
SF3A3	3894
FGGY-DT	7581
LAMTOR5P1	270
PCSK9	5711
MTCO2P34	607
RPS29P7	171
LINC01685	3673
PIGQP1	430
TTC4	3488
BMP8B	4826
KLF17	3160
